scene,subset,tolerance,view_idx,frame_id,oracle_k_star,was_early_frozen,is_active_later,freeze_abs_rel,decode_oracle_abs_rel,fixed16_abs_rel,delta_freeze_vs_decode,delta_freeze_vs_k16,freeze_rmse,freeze_mae,freeze_delta1,freeze_geom_l2,freeze_rot_err_deg
scan10,subset_middle,2pct,1,0,14,True,True,0.0042581879533827305,0.0042581879533827305,0.004204561002552509,0.0,5.3626950830221176e-05,6.545738220214844,2.7394468784332275,0.9998117685317993,627.2053833007812,0.0
scan10,subset_middle,2pct,2,1,14,True,True,0.004515571519732475,0.004515571519732475,0.004530621226876974,0.0,-1.5049707144498825e-05,4.450013160705566,3.0316691398620605,1.0,630.6415405273438,0.0
scan10,subset_middle,2pct,3,2,13,True,False,0.004903980530798435,0.004903980530798435,0.004848916083574295,0.0,5.506444722414017e-05,5.25783634185791,3.305227518081665,1.0,635.2572021484375,0.0
scan10,subset_middle,2pct,4,3,16,False,True,0.004067560657858849,0.00398319261148572,0.00398319261148572,8.436804637312889e-05,8.436804637312889e-05,5.917619228363037,2.595646858215332,0.9994934797286987,644.4165649414062,0.0
scan10,subset_middle,2pct,5,4,16,False,True,0.0033837538212537766,0.0032756798900663853,0.0032756798900663853,0.00010807393118739128,0.00010807393118739128,3.087991714477539,2.119065284729004,1.0,640.0113525390625,0.0
scan10,subset_uniform,5pct,0,0,11,True,False,0.0030172558035701513,0.0030172558035701513,0.0030962012242525816,0.0,-7.894542068243027e-05,3.025301933288574,1.9336967468261719,0.9999999403953552,627.2977905273438,0.0
scan10,subset_uniform,5pct,1,8,11,True,False,0.003234179224818945,0.003234179224818945,0.0031796821858733892,0.0,5.449703894555569e-05,3.014862537384033,2.208085536956787,1.0,642.130859375,0.0
scan10,subset_uniform,5pct,2,16,12,True,True,0.0032419811468571424,0.0032419811468571424,0.003264554077759385,0.0,-2.257293090224266e-05,3.098179817199707,2.227841854095459,1.0,655.1325073242188,0.0
scan10,subset_uniform,5pct,3,24,14,True,True,0.0034357032272964716,0.003325359895825386,0.0032205490861088037,0.00011034333147108555,0.00021515414118766785,3.3396260738372803,2.43105411529541,1.0,655.5541381835938,0.0
scan10,subset_uniform,5pct,4,32,13,True,True,0.003774375654757023,0.0036870306357741356,0.0036407606676220894,8.734501898288727e-05,0.00013361498713493347,3.7856714725494385,2.6385934352874756,1.0,659.6640625,0.0
scan10,subset_uniform,5pct,5,40,13,True,True,0.006036318372935057,0.006016795057803392,0.0058563100174069405,1.9523315131664276e-05,0.00018000835552811623,8.805807113647461,4.057095527648926,1.0,681.24072265625,0.0
