scene,subset,view_idx,frame_id,step_i,abs_rel,rmse,mae,delta1,geom_l2,rot_err_deg,trans_err_deg,hidden_delta_1step,hidden_delta_2step,depth_delta,abs_rel_16,future_gain,oracle_k_star_1pct,oracle_k_star_2pct,oracle_k_star_5pct,oracle_k_star_10pct,safe_to_halt_1pct,safe_to_halt_2pct,safe_to_halt_5pct,safe_to_halt_10pct
scan1,subset_middle,5,4,11,0.0035485222470015287,4.506749629974365,2.3279030323028564,0.9998473525047302,647.4779663085938,0.0,0.0,0.060164280235767365,0.11769009381532669,0.0026918542571365833,0.0032369771506637335,0.00031154509633779526,12,12,12,11,0,0,0,1
scan1,subset_middle,0,24,12,0.0034969723783433437,6.099589824676514,2.2399275302886963,0.9996115565299988,645.3618774414062,0.0,0.0,0.056891243904829025,0.1089186742901802,0.004616712220013142,0.004100610502064228,-0.0006036381237208843,8,8,8,8,1,1,1,1
scan1,subset_middle,1,0,12,0.004210681188851595,16.578630447387695,2.9158334732055664,0.9972615838050842,644.5714111328125,0.0,0.0,0.06039927154779434,0.11535055190324783,0.0021678507328033447,0.006002626847475767,-0.0017919456586241722,10,10,10,9,1,1,1,1
scan1,subset_middle,2,1,12,0.0038376711308956146,8.893903732299805,2.446545362472534,0.9984356164932251,652.7467041015625,0.0,0.4068635404109955,0.06017051637172699,0.11503248661756516,0.0020643703173846006,0.005082026124000549,-0.0012443549931049347,9,9,9,9,1,1,1,1
scan1,subset_middle,3,2,12,0.003119590925052762,3.0352680683135986,2.0199081897735596,1.0,652.1463012695312,0.0,1.7196496725082397,0.06074988842010498,0.11639156937599182,0.0022504611406475306,0.003950988873839378,-0.0008313979487866163,10,10,10,10,1,1,1,1
scan1,subset_middle,4,3,12,0.002958528930321336,3.4745571613311768,1.932804822921753,0.9999839067459106,655.3695068359375,0.0,0.0,0.06046581640839577,0.11591391265392303,0.002218556823208928,0.003305153688415885,-0.0003466247580945492,11,11,11,11,1,1,1,1
scan1,subset_middle,5,4,12,0.003074467182159424,4.14940881729126,1.994062900543213,0.9998473525047302,647.4751586914062,0.0,0.0,0.06136605143547058,0.11762280017137527,0.002429027110338211,0.0032369771506637335,-0.00016250996850430965,12,12,12,11,1,1,1,1
scan1,subset_middle,0,24,13,0.0036439455579966307,6.166955471038818,2.331371784210205,0.9996115565299988,645.3569946289062,0.0,0.0,0.05688662454485893,0.11065708845853806,0.0045506590977311134,0.004100610502064228,-0.0004566649440675974,8,8,8,8,1,1,1,1
scan1,subset_middle,1,0,13,0.004642647225409746,16.57695198059082,3.1902670860290527,0.9972615838050842,644.5671997070312,0.0,2.9294419288635254,0.06021865829825401,0.11703752726316452,0.0024531001690775156,0.006002626847475767,-0.001359979622066021,10,10,10,9,1,1,1,1
scan1,subset_middle,2,1,13,0.004162961151450872,8.90673828125,2.6523683071136475,0.9984589219093323,652.7422485351562,0.0,2.274946451187134,0.05996858701109886,0.11655901372432709,0.0025343261659145355,0.005082026124000549,-0.0009190649725496769,9,9,9,9,1,1,1,1
